Date,Satellite Latitude,Satellite Longitude,Satellite NO2,Ground Latitude,Ground Longitude,Station Name,City,Ground NO2,Ground PM2.5,Ground PM10,Ground NO,Ground SO2,Ground CO,NDVI,Population Density,Distance (km)
01-06-2024,15.4484415,75.04013,9.597633e-06,15.4584,75.0162,Kalabhavan  Dharwad - KSPCB ,Dharwad,5.75,26.73,62.17,7.79,3.54,0.53,0.14817412,6,2.794605112458958
01-06-2024,16.183323,75.73005,1.5755952e-05,16.1819,75.7303,Vidayagiri  Bagalkot - KSPCB ,Bagalkot,7.28,21.82,44.01,5.06,3.23,0.76,0.21331738,5,0.1597232478574529
01-06-2024,16.200275,77.35969,2.565436e-05,16.2007,77.3585,Haji Colony  Raichur - KSPCB ,Raichur,21.61,13.87,64.07,11.9,61.94,1.98,0.11476835,5,0.1356566011031199
01-06-2024,16.518648,80.605095,2.5705102e-05,16.5189,80.6276,HB Colony  Vijayawada - APPCB ,Vijayawada,11.73,34.59,67.81,7.67,4.83,0.74,0.050557327,6,2.402657251865533
01-06-2024,16.52631,80.638054,2.9606217e-05,16.5189,80.6276,HB Colony  Vijayawada - APPCB ,Vijayawada,11.73,34.59,67.81,7.67,4.83,0.74,0.11573888,6,1.3848654855452185
01-06-2024,16.552526,80.527336,2.7045673e-05,16.5402,80.5072,Secretariat  Amaravati - APPCB ,Amaravati,4.58,30.68,82.0,1.58,10.23,1.17,0.2373296,5,2.545599898204617
01-06-2024,16.708984,74.23923,1.1181033e-05,16.7114,74.226,Sinchan Bhavan  Kolhapur - MPCB ,Kolhapur,5.76,15.4,35.68,0.68,1.08,0.25,0.113419354,6,1.4360640561488909
01-06-2024,16.714062,77.13735,1.47743585e-05,16.7115,77.1344,Collector Office  Yadgir - KSPCB ,Yadgir,12.32,20.74,75.57,1.66,12.38,0.5,0.21193697,4,0.4235155711754429
01-06-2024,16.824625,75.72398,1.4408863e-05,16.829,75.7158,Ibrahimpur  Vijayapura - KSPCB ,Vijayapura,14.96,18.08,38.75,5.05,,,0.09268912,5,0.9972678298689108
01-06-2024,17.391542,78.5033,2.7290816e-05,17.384,78.5228,New Malakpet  Hyderabad - TSPCB ,Hyderabad,19.63,27.29,81.08,12.98,16.33,0.4,0.13387619,6,2.233954922522243
01-06-2024,17.430483,78.45472,2.638071e-05,17.4231,78.447,Somajiguda  Hyderabad - TSPCB ,Hyderabad,23.52,42.69,74.89,14.03,14.04,0.66,0.01890802,6,1.1577429876085772
01-06-2024,17.517084,77.6685,1.7591054e-05,17.5232,77.6434,IITH Kandi  Hyderabad - TSPCB ,Hyderabad,8.26,17.0,63.74,7.43,3.09,0.35,0.17096564,5,2.749920971703048
01-06-2024,17.536524,78.27154,2.3371736e-05,17.5372,78.2761,ICRISAT Patancheru  Hyderabad - TSPCB ,Hyderabad,13.22,36.67,119.09,6.02,17.81,0.84,0.1402805,5,0.4899180647468457
01-06-2024,17.55943,78.538124,2.0608884e-05,17.5724,78.5548,Kompally Municipal Office  Hyderabad - TSPCB ,Hyderabad,6.48,36.16,62.23,7.09,23.9,0.22,0.20307492,5,2.279179604030326
01-06-2024,17.569468,78.57401,2.254697e-05,17.5724,78.5548,Kompally Municipal Office  Hyderabad - TSPCB ,Hyderabad,6.48,36.16,62.23,7.09,23.9,0.22,0.18060285,5,2.064954542424738
01-06-2024,17.588394,78.45364,2.0732761e-05,17.593,78.4576,Bollaram Industrial Area  Hyderabad - TSPCB ,Hyderabad,23.77,43.74,137.45,4.14,35.21,0.69,0.13216634,6,0.6607225637155008
01-06-2024,17.645704,75.92788,1.3643027e-05,17.6599,75.9095,Dnyaneshwar Nagar  Solapur - MPCB ,Solapur,10.62,32.68,77.94,2.82,0.8,0.45,0.05499918,6,2.504446441191367
01-06-2024,17.699743,83.228676,2.2467317e-05,17.6869,83.2189,GVM Corporation  Visakhapatnam - APPCB ,Visakhapatnam,34.28,33.73,88.36,7.31,8.67,0.51,0.09596734,6,1.759552700524159
01-06-2024,18.512964,73.87055,1.3596805e-05,18.518,73.8568,Savitribai Phule Pune University  Pune - MPCB ,Pune,3.62,22.54,71.04,8.75,5.84,0.35,0.16592567,6,1.5552291889788012
